RowKey_Date,DiaSem,Clasif_Lab,Clasif_Fest,N_DiaMes,N_Mes,N_Ano,Lab_PrevioFest,Lab_PostFest,DiaSem_SIN,DiaSem_COS,Dia_SIN,Dia_COS,Mes_SIN,Mes_COS,VD_Carretera-Urda,VD_Centro,VD_Churruca,VD_Gasolinera,VD_Planta,VD_Poligono,VD_Sur-Este,VD_Valladolid,wdir,temp,maxt,visibility,wspd,solarenergy,mint,precip,solarradiation,sealevelpressure,dew,humidity,precipcover,cond_Partially-cloudy,cond_Clear,cond_Rain,cond_Overcast
2021-08-02,Lunes,Laborable,No Festivo,2,8,2021,0,0,0.0,1.0,0.20129852008866,0.9795299412524944,-0.4999999999999997,-0.8660254037844388,110.09,212.88,1461.875,216.33309504999997,446.82,192.36,644.4763372100002,1307.1,247.13,24.0,30.3,14.8,10.6,24.4,14.2,0.0,452.7,1014.1,3.8,27.87,0.0,1,0,0,0
2021-08-03,Martes,Laborable,No Festivo,3,8,2021,0,0,0.7818314824680298,0.6234898018587336,0.3943558551133185,0.9189578116202306,-0.4999999999999997,-0.8660254037844388,106.67,181.24,1440.9375,193.01809561999997,422.14,212.3,665.1004367300002,1321.6,205.26,25.8,33.0,14.6,12.4,24.7,15.3,0.0,456.5,1015.1,7.7,35.15,0.0,1,0,0,0
2021-08-04,Miercoles,Laborable,No Festivo,4,8,2021,0,0,0.9749279121818236,-0.2225209339563143,0.5712682150947923,0.8207634412072763,-0.4999999999999997,-0.8660254037844388,74.18,179.96,1449.6875,162.07569642,436.42,215.27,665.57453702,1338.0,264.83,27.3,33.0,14.8,16.2,25.3,21.2,0.0,468.3,1014.6,8.0,30.15,0.0,0,1,0,0
2021-08-05,Jueves,Laborable,No Festivo,5,8,2021,0,0,0.4338837391175582,-0.900968867902419,0.7247927872291199,0.6889669190756866,-0.4999999999999997,-0.8660254037844388,14.48,201.64,1470.1875,209.39889517000003,431.04,185.43,645.3688401,1279.7,261.25,28.4,35.1,14.8,20.5,25.3,19.6,0.0,468.4,1014.8,5.5,25.73,0.0,0,1,0,0
2021-08-06,Viernes,Laborable,No Festivo,6,8,2021,0,0,-0.433883739117558,-0.9009688679024191,0.8486442574947509,0.5289640103269624,-0.4999999999999997,-0.8660254037844388,21.05,196.12,1396.375,212.27479511,411.49,202.91,651.125,1274.8,253.96,28.6,34.9,14.8,29.7,25.5,22.2,0.0,471.7,1010.7,5.8,25.6,0.0,0,1,0,0
2021-08-07,Sabado,No Laborable,No Festivo,7,8,2021,0,0,-0.9749279121818236,-0.2225209339563146,0.9377521321470804,0.3473052528448203,-0.4999999999999997,-0.8660254037844388,17.48,201.39,1454.4375,215.679995,388.92,201.81,654.309985,1333.5,261.29,24.3,30.0,15.9,20.3,25.2,17.2,0.0,499.4,1010.1,7.6,37.09,0.0,0,1,0,0
2021-08-08,Domingo,No Laborable,No Festivo,8,8,2021,0,0,-0.7818314824680299,0.6234898018587334,0.9884683243281114,0.1514277775045767,-0.4999999999999997,-0.8660254037844388,42.78,200.6,1438.6875,222.899995,391.04,169.64,668.209985,1275.8,233.92,25.0,33.0,15.9,13.0,25.2,14.7,0.0,499.1,1012.7,5.5,31.24,0.0,0,1,0,0
2021-08-09,Lunes,Laborable,No Festivo,9,8,2021,0,0,0.0,1.0,0.9987165071710528,-0.0506491688387126,-0.4999999999999997,-0.8660254037844388,33.34,221.0,1529.6875,221.359995,447.27,192.51,634.169986,1244.3,154.71,26.1,33.3,14.4,17.6,25.0,15.2,0.0,463.1,1014.5,11.8,46.64,0.0,1,0,0,0
2021-08-10,Martes,Laborable,No Festivo,10,8,2021,0,0,0.7818314824680298,0.6234898018587336,0.9680771188662044,-0.2506525322587204,-0.4999999999999997,-0.8660254037844388,29.89,186.61,1449.9375,160.969996,433.4,223.56,657.639985,1235.3,124.17,28.3,35.2,14.5,11.2,20.8,21.2,0.0,412.4,1014.1,15.0,47.26,0.0,1,0,0,0
2021-08-11,Miercoles,Laborable,No Festivo,11,8,2021,0,0,0.9749279121818236,-0.2225209339563143,0.8978045395707416,-0.4403941515576344,-0.4999999999999997,-0.8660254037844388,23.73,214.44,1430.0,141.779997,421.32,232.84,691.569985,1238.7,110.21,30.0,38.8,12.6,22.6,16.3,20.8,0.0,348.3,1014.6,13.0,37.68,0.0,1,0,0,0
