COD_CONCESION,SECTOR,COD_SUMINISTRO,FECHA_ALTA_SUMINISTRO,FECHA_BAJA_SUMINISTRO,COD_TIPO_SUMINISTRO,NUM_VIVIENDAS,NUM_PERSONAS
VR,2,1000002,2009-08-13,,CONT,1.0,3.0
VR,0,1000003,2009-08-17,,CONT,1.0,3.0
VR,3.2,1000004,2009-08-28,,CONT,1.0,3.0
VR,,1000005,2009-08-21,2011-11-09,CONT,,
VR,2,1000006,2009-08-13,,CONT,1.0,3.0
VR,0,1000007,2009-08-17,,CONT,1.0,3.0
VR,0,1000008,2009-08-17,,CONT,1.0,3.0
VR,0,1000009,2009-08-17,,CONT,1.0,3.0
VR,2.2,1000011,2009-09-04,,CONT,1.0,3.0
VR,3.1,1000012,2009-08-21,,CONT,1.0,3.0
VR,2.2,1000013,2009-09-02,,CONT,1.0,3.0
VR,3.2.1,1000014,2009-09-02,,CONT,1.0,3.0
VR,3.2,1000015,2009-09-01,,CONT,1.0,3.0
VR,2.2,1000016,2009-08-31,,CONT,1.0,3.0
VR,3.1,1000017,2009-08-17,,CONT,1.0,3.0
VR,3.1,1000019,2009-08-21,,CONT,1.0,3.0
VR,3.1,1000020,2009-08-21,,CONT,1.0,3.0
VR,2,1000021,2009-08-10,,CONT,1.0,3.0
VR,2.1,1000022,2009-08-13,,CONT,1.0,3.0
VR,3.1,1000023,2009-08-23,,CONT,1.0,3.0
VR,3.2,1000024,2009-09-01,,CONT,1.0,3.0
VR,3.1,1000025,2009-08-17,,CONT,1.0,3.0
VR,2.2,1000026,2009-08-31,,CONT,1.0,3.0
VR,3.2,1000027,2009-09-01,,CONT,1.0,3.0
VR,3.2.1,1000028,2009-08-23,,CONT,1.0,3.0
VR,2,1000029,2009-08-10,,CONT,1.0,3.0
VR,2.2,1000030,2009-08-30,,CONT,1.0,3.0
VR,3.2,1000033,2009-09-01,,CONT,1.0,3.0
VR,3.2,1000034,2009-09-01,,CONT,1.0,3.0
VR,2.1,1000036,2009-09-10,,CONT,1.0,3.0
VR,2.1,1000038,2009-09-10,,CONT,1.0,3.0
VR,3.2,1000039,2009-09-01,,CONT,1.0,3.0
VR,3.2,1000040,2009-08-31,,CONT,1.0,3.0
VR,2.1,1000041,2009-09-08,,CONT,1.0,3.0
VR,3.2,1000042,2009-08-31,,CONT,1.0,3.0
VR,3.2.1,1000043,2009-09-03,,CONT,1.0,3.0
VR,2.2,1000044,2009-09-04,,CONT,1.0,3.0
VR,0,1000045,2009-08-17,,CONT,1.0,3.0
VR,2.2,1000046,2009-09-04,,CONT,1.0,3.0
VR,3.2.1,1000047,2009-09-02,,CONT,1.0,3.0
VR,3.2,1000048,2009-09-02,,CONT,1.0,3.0
VR,3.2.1,1000049,2009-09-08,,CONT,1.0,3.0
VR,2.2,1000050,2009-08-30,,CONT,1.0,3.0
VR,3.2,1000051,2009-09-01,,CONT,1.0,3.0
VR,2.2,1000053,2009-09-02,,CONT,1.0,3.0
VR,0,1000055,2009-08-23,,CONT,1.0,3.0
VR,3.2.1,1000056,2009-08-21,,SIN_CONT,1.0,3.0
VR,3.2,1000057,2009-09-01,,CONT,1.0,3.0
VR,2.2,1000060,2009-08-31,,CONT,1.0,3.0
VR,3.1,1000061,2009-08-23,,CONT,1.0,3.0
VR,2.2,1000062,2009-09-02,,CONT,1.0,3.0
VR,2,1000064,2009-08-13,,CONT,1.0,3.0
VR,2,1000065,2009-08-10,,SIN_CONT,1.0,3.0
VR,0,1000066,2009-08-13,,CONT,1.0,3.0
VR,2,1000068,2009-08-13,,CONT,1.0,3.0
VR,2.2,1000069,2009-09-04,,CONT,1.0,3.0
VR,0,1000070,2009-08-21,,CONT,1.0,3.0
VR,3.1,1000071,2009-08-13,,CONT,1.0,3.0
VR,2,1000072,2009-08-10,,CONT,1.0,3.0
VR,3.1,1000074,2009-08-21,,CONT,1.0,3.0
VR,0,1000075,2009-08-23,,CONT,1.0,3.0
VR,2,1000076,2009-08-11,,CONT,1.0,3.0
VR,0,1000077,2009-08-23,,CONT,1.0,3.0
VR,2.2,1000079,2009-09-04,,CONT,1.0,3.0
VR,3.1,1000080,2009-08-17,,CONT,1.0,3.0
VR,2.2,1000081,2009-09-04,,CONT,1.0,3.0
VR,2.2,1000082,2009-09-04,,SIN_CONT,1.0,3.0
VR,3.1,1000083,2009-08-25,,CONT,1.0,3.0
VR,2.2,1000085,2009-08-30,,CONT,1.0,3.0
VR,2,1000086,2009-08-13,,CONT,1.0,3.0
VR,0,1000087,2009-08-23,,CONT,1.0,3.0
VR,3.2,1000088,2009-09-02,,CONT,1.0,3.0
VR,3.1,1000089,2009-08-23,,CONT,1.0,3.0
VR,3.1,1000090,2009-08-23,,CONT,1.0,3.0
VR,3.1,1000091,2009-08-17,,CONT,1.0,3.0
VR,,1000092,2009-09-04,2017-01-17,SIN_CONT,,
VR,3,1000093,2009-08-27,,CONT,1.0,3.0
VR,0,1000094,2009-08-23,,CONT,1.0,3.0
VR,3,1000095,2009-08-27,,CONT,1.0,3.0
VR,3,1000096,2009-08-25,,CONT,1.0,3.0
VR,3,1000097,2009-08-27,,CONT,1.0,3.0
VR,3.1,1000098,2009-08-23,,CONT,1.0,3.0
VR,0,1000099,2009-08-23,,CONT,1.0,3.0
VR,3.2,1000100,2009-08-28,,CONT,1.0,3.0
VR,3.1,1000101,2009-08-25,,CONT,1.0,3.0
VR,2,1000102,2009-08-13,,CONT,1.0,3.0
VR,3,1000103,2009-08-25,,CONT,1.0,3.0
VR,2.1,1000104,2009-09-10,,CONT,1.0,3.0
VR,3,1000105,2009-08-27,,CONT,1.0,3.0
VR,3,1000106,2009-08-27,,CONT,1.0,3.0
VR,3.2,1000107,2009-09-01,,CONT,1.0,3.0
VR,0,1000108,2009-08-25,,CONT,1.0,3.0
VR,3,1000109,2009-08-27,,CONT,1.0,3.0
VR,3,1000110,2009-08-27,,CONT,1.0,3.0
VR,3,1000113,2009-08-27,,CONT,1.0,3.0
VR,3,1000114,2009-08-27,,SIN_CONT,1.0,3.0
VR,3,1000115,2009-08-27,,CONT,1.0,3.0
VR,3,1000116,2009-08-25,,CONT,1.0,3.0
VR,3,1000117,2009-08-25,,CONT,1.0,3.0
VR,3,1000118,2009-08-27,,CONT,1.0,3.0
VR,3,1000119,2009-08-27,,CONT,1.0,3.0
VR,3,1000120,2009-08-27,,CONT,1.0,3.0
VR,3,1000121,2009-08-27,,CONT,1.0,3.0
VR,3.2,1000122,2009-09-02,,CONT,1.0,3.0
VR,3.2.1,1000124,2009-09-03,,CONT,1.0,3.0
VR,2,1000128,2009-08-10,,CONT,1.0,3.0
VR,,1000129,2009-08-13,2011-11-30,CONT,,
VR,2,1000131,2009-08-13,,CONT,1.0,3.0
VR,2.2,1000132,2009-09-02,,CONT,1.0,3.0
VR,3.2.1,1000133,2009-09-08,,CONT,1.0,3.0
VR,3.1,1000134,2009-08-21,,CONT,1.0,3.0
VR,2.2,1000135,2009-09-08,,CONT,1.0,3.0
VR,3.1,1000137,2009-08-21,,CONT,1.0,3.0
VR,2.2,1000139,2009-09-08,,CONT,1.0,3.0
VR,0,1000140,2009-08-17,,CONT,1.0,3.0
VR,3.2,1000141,2009-08-28,,CONT,1.0,3.0
VR,2.2,1000142,2009-09-04,,CONT,1.0,3.0
VR,3.1,1000144,2009-08-23,,CONT,1.0,3.0
VR,3.2.1,1000145,2009-08-23,,CONT,1.0,3.0
VR,3.1,1000146,2009-08-21,,CONT,1.0,3.0
VR,2,1000148,2009-08-13,,CONT,1.0,3.0
VR,2,1000149,2009-08-10,,CONT,1.0,3.0
VR,0,1000150,2009-08-21,,CONT,1.0,3.0
VR,2,1000152,2009-08-13,,CONT,1.0,3.0
VR,0,1000153,2009-08-21,,CONT,1.0,3.0
VR,3.1,1000154,2009-08-23,,CONT,1.0,3.0
VR,2.1,1000155,2009-09-10,,CONT,1.0,3.0
VR,3.2,1000156,2009-09-01,,CONT,1.0,3.0
VR,3.2,1000158,2009-08-28,,CONT,1.0,3.0
VR,,1000159,2009-08-23,2011-04-08,CONT,,
VR,2.1,1000160,2009-09-10,,CONT,1.0,3.0
VR,3,1000161,2009-08-27,,CONT,1.0,3.0
VR,3.2.1,1000162,2009-09-03,,CONT,1.0,3.0
VR,3.2,1000163,2009-09-01,,CONT,1.0,3.0
VR,3.1,1000164,2009-08-21,,CONT,1.0,3.0
VR,2.2,1000165,2009-08-30,,CONT,1.0,3.0
VR,3.1,1000166,2009-08-17,,CONT,1.0,3.0
VR,2.2.1,1000167,2009-09-08,,CONT,1.0,3.0
VR,3.2.1,1000168,2009-09-08,,CONT,1.0,3.0
VR,0,1000169,2009-08-23,,CONT,1.0,3.0
