wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info,locations
264.5,4.4,7.1,15.3,22.1,2021-01-01T00:00:00+01:00,7.4,,55.3,2.1,1609459200000,2.6,205.2,"Drizzle, Mist, Light Drizzle, Rain",0.0,1012.6,0.0,1.8,83.64,12.5,,"Rain, Partially cloudy",-1.5,,"39.2210171,-3.6185337"
291.04,2.1,6.9,19.6,18.5,2021-01-02T00:00:00+01:00,8.3,,25.0,-1.3,1609545600000,0.0,229.3,,0.0,1016.4,0.0,-3.3,70.25,0.0,,Clear,-3.9,,"39.2210171,-3.6185337"
252.5,2.0,8.1,20.0,13.0,2021-01-03T00:00:00+01:00,9.2,,,-2.9,1609632000000,0.0,256.9,,0.0,1018.6,0.0,-4.4,63.87,0.0,,Clear,-4.5,,"39.2210171,-3.6185337"
255.58,1.2,3.8,14.6,18.4,2021-01-04T00:00:00+01:00,2.7,,68.5,-1.2,1609718400000,0.0,75.3,"Light Snow, Light Drizzle, Sky Coverage Decreasing, Sky Coverage Increasing",0.0,1015.3,0.0,-0.1,90.94,0.0,,Partially cloudy,-2.9,,"39.2210171,-3.6185337"
138.75,-0.9,5.0,9.4,8.8,2021-01-05T00:00:00+01:00,7.6,,61.1,-4.5,1609804800000,0.0,211.7,"Mist, Fog",0.0,1014.7,0.0,-2.4,90.55,0.0,,Partially cloudy,-5.4,,"39.2210171,-3.6185337"
64.88,-1.4,3.1,9.1,11.2,2021-01-06T00:00:00+01:00,6.9,,49.6,-7.3,1609891200000,0.0,192.8,"Mist, Fog",0.0,1015.0,0.0,-3.1,88.95,0.0,,Partially cloudy,-5.1,,"39.2210171,-3.6185337"
58.54,0.8,1.9,6.3,19.3,2021-01-07T00:00:00+01:00,1.6,,95.8,0.1,1609977600000,6.6,50.2,"Light Snow, Rain, Light Drizzle/Rain, Snow",0.0,1012.3,0.0,0.5,98.2,50.0,38.9,"Rain, Overcast",-4.0,,"39.2210171,-3.6185337"
58.5,0.9,1.7,8.1,20.5,2021-01-08T00:00:00+01:00,1.7,,94.0,0.1,1610064000000,20.6,53.0,"Light Snow, Light Drizzle, Rain, Light Drizzle/Rain, Light Rain, Snow",0.0,1007.9,0.0,0.8,98.9,62.5,,"Rain, Overcast",-4.6,,"39.2210171,-3.6185337"
185.42,2.0,3.9,9.0,14.8,2021-01-09T00:00:00+01:00,2.8,,,-0.9,1610150400000,12.4,76.4,"Drizzle, Mist, Light Drizzle, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Heavy Rain, Light Rain",0.0,1003.9,0.0,1.8,98.03,41.67,,Rain,-2.3,,"39.2210171,-3.6185337"
65.42,0.9,5.1,16.8,16.6,2021-01-10T00:00:00+01:00,9.7,,,-1.6,1610236800000,0.2,268.1,"Mist, Light Snow, Snow",0.0,1012.7,0.0,-0.6,90.69,4.17,,Rain,-4.1,,"39.2210171,-3.6185337"
53.83,-0.4,3.9,14.2,13.5,2021-01-11T00:00:00+01:00,9.9,,3.8,-3.7,1610323200000,0.0,274.6,,0.0,1023.4,0.0,-3.5,81.14,0.0,,Clear,-3.3,,"39.2210171,-3.6185337"
166.13,-1.1,6.9,12.5,4.9,2021-01-12T00:00:00+01:00,10.2,,0.0,-7.1,1610409600000,0.0,258.6,,0.0,1032.1,0.0,-4.8,78.69,0.0,,Clear,5.5,,"39.2210171,-3.6185337"
110.95,0.3,10.4,12.1,4.1,2021-01-13T00:00:00+01:00,10.3,,0.0,-6.5,1610496000000,0.0,260.0,Mist,0.0,1032.6,0.0,-3.3,79.82,0.0,,Clear,,,"39.2210171,-3.6185337"
155.52,1.9,11.2,10.9,5.8,2021-01-14T00:00:00+01:00,10.3,,62.9,-4.6,1610582400000,0.0,259.8,"Mist, Sky Unchanged",0.0,1029.9,0.0,-1.8,79.51,0.0,,Partially cloudy,-2.1,,"39.2210171,-3.6185337"
132.45,1.7,9.1,10.8,9.3,2021-01-15T00:00:00+01:00,9.7,,0.0,-4.5,1610668800000,0.0,246.1,Mist,0.0,1030.5,0.0,-1.4,81.45,0.0,,Clear,0.5,,"39.2210171,-3.6185337"
158.05,2.8,12.2,13.7,7.6,2021-01-16T00:00:00+01:00,10.3,,,-3.6,1610755200000,0.0,259.7,,0.0,1030.9,0.0,-1.9,75.59,0.0,,Clear,9.0,,"39.2210171,-3.6185337"
117.83,3.2,14.1,17.9,5.4,2021-01-17T00:00:00+01:00,10.4,,,-3.6,1610841600000,0.0,261.8,,0.0,1031.8,0.0,-2.4,71.38,0.0,,Clear,-5.0,,"39.2210171,-3.6185337"
114.42,2.5,11.8,11.8,9.7,2021-01-18T00:00:00+01:00,10.3,,0.0,-4.5,1610928000000,0.0,259.7,Mist,0.0,1030.2,0.0,-1.2,78.6,0.0,,Clear,-0.5,,"39.2210171,-3.6185337"
179.13,3.0,12.9,9.1,10.1,2021-01-19T00:00:00+01:00,9.6,,68.0,-4.1,1611014400000,0.0,241.5,"Mist, Fog",0.0,1026.9,0.0,0.0,82.73,0.0,,Partially cloudy,1.7,,"39.2210171,-3.6185337"
179.09,6.6,10.0,13.0,19.2,2021-01-20T00:00:00+01:00,2.0,,89.8,1.4,1611100800000,7.4,55.1,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Light Rain",0.0,1015.6,0.0,5.0,89.81,20.83,46.4,"Rain, Overcast",1.7,,"39.2210171,-3.6185337"
235.5,9.9,12.2,11.9,26.4,2021-01-21T00:00:00+01:00,4.0,,90.8,8.2,1611187200000,1.6,101.3,"Drizzle, Light Drizzle, Heavy Drizzle/Rain, Rain",0.0,1016.7,0.0,8.3,90.21,16.67,44.6,"Rain, Overcast",6.1,,"39.2210171,-3.6185337"
252.46,9.5,11.7,12.8,40.9,2021-01-22T00:00:00+01:00,5.4,,61.6,6.7,1611273600000,1.4,149.9,"Drizzle, Mist, Light Drizzle, Heavy Drizzle/Rain, Rain, Light Drizzle/Rain, Sky Coverage Increasing",0.0,1014.5,0.0,6.9,84.38,16.67,74.2,"Rain, Partially cloudy",4.1,,"39.2210171,-3.6185337"
235.42,7.7,10.4,14.6,20.5,2021-01-23T00:00:00+01:00,3.6,,,5.9,1611360000000,4.4,100.6,"Drizzle, Light Drizzle, Heavy Drizzle/Rain, Light Drizzle/Rain",0.0,1018.2,0.0,6.4,91.37,20.83,,Rain,3.5,,"39.2210171,-3.6185337"
261.25,10.3,11.9,17.3,24.1,2021-01-24T00:00:00+01:00,7.3,,,8.7,1611446400000,0.8,184.1,"Drizzle, Light Drizzle, Heavy Drizzle/Rain",0.0,1015.4,0.0,7.6,83.94,12.5,,Rain,6.3,,"39.2210171,-3.6185337"
250.58,11.0,13.9,12.8,29.1,2021-01-25T00:00:00+01:00,3.6,,89.8,7.8,1611532800000,1.4,91.9,"Drizzle, Mist, Light Drizzle, Sky Coverage Increasing",0.0,1016.5,0.0,9.8,92.45,12.5,51.8,"Rain, Overcast",4.9,,"39.2210171,-3.6185337"
261.0,12.5,14.3,8.7,12.9,2021-01-26T00:00:00+01:00,3.6,,90.5,11.1,1611619200000,0.2,100.9,"Drizzle, Mist, Light Drizzle, Light Drizzle/Rain, Sky Coverage Increasing",0.0,1023.6,0.0,12.1,97.49,4.17,,"Rain, Overcast",,,"39.2210171,-3.6185337"
256.75,13.9,17.2,13.2,10.7,2021-01-27T00:00:00+01:00,6.7,,72.1,10.4,1611705600000,0.0,169.5,"Mist, Sky Coverage Increasing",0.0,1026.0,0.0,12.5,91.79,0.0,,Partially cloudy,,,"39.2210171,-3.6185337"
235.29,11.2,18.0,4.9,5.4,2021-01-28T00:00:00+01:00,8.5,,68.5,7.2,1611792000000,0.0,215.7,"Mist, Fog, Sky Coverage Decreasing",0.0,1026.0,0.0,10.0,93.63,0.0,,Partially cloudy,6.9,,"39.2210171,-3.6185337"
232.71,11.9,20.1,12.3,20.8,2021-01-29T00:00:00+01:00,11.8,,10.0,4.5,1611878400000,0.0,299.1,Mist,0.0,1022.8,0.0,8.0,80.11,0.0,,Clear,,,"39.2210171,-3.6185337"
