oid,bissioCode,code,parentCode,name,service
VR22110000,1,22110000,22100000.0,Carretera de Urda,VR
VR22120000,2,22120000,22100000.0,Valladolid,VR
VR22121000,2.1,22121000,22120000.0,Gasolinera,VR
VR22122900,2.2.1.9,22122900,22122000.0,Sur Este Virtual,VR
VR22132100,3.2.1,22132100,22132000.0,Centro,VR
VR22132900,3.2.9,22132900,22132000.0,Sur Oeste Virtual,VR
VR22100000,0.0,22100000,,General,VR
VR22119000,0,22119000,22100000.0,Diferencia,VR
VR22122000,2.2,22122000,22120000.0,Sur Este,VR
VR22122100,2.2.1,22122100,22122000.0,Polígono,VR
VR22129000,2.9,22129000,22120000.0,Valladolid Virtual,VR
VR22130000,3,22130000,22100000.0,Churruca,VR
VR22131000,3.1,22131000,22130000.0,Planta,VR
VR22132000,3.2,22132000,22130000.0,Sur Oeste,VR
VR22139000,3.9,22139000,22130000.0,Churruca Virtual,VR
