Canonical,RowKey,INF_Label,INF_Value,STA_Label,Sector_Neta
TOTALIZADOR,2022-12-03 00:15:00+00:00,LS Urda,0.122989185,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 00:30:00+00:00,LS Urda,0.1219702,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 00:45:00+00:00,LS Urda,0.12140799,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 01:00:00+00:00,LS Urda,0.1219702,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 01:15:00+00:00,LS Urda,0.122433595,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 01:30:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 01:45:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 02:00:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 02:15:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 02:30:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 02:45:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 03:00:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 03:15:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 03:30:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 03:45:00+00:00,LS Urda,0.1175526,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 04:00:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 04:15:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 04:30:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 04:45:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 05:00:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 05:15:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 05:30:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 05:45:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 06:00:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 06:15:00+00:00,LS Urda,0.1208524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 06:30:00+00:00,LS Urda,0.12140799,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 06:45:00+00:00,LS Urda,0.13002442,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 07:00:00+00:00,LS Urda,0.10751303,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 07:15:00+00:00,LS Urda,0.14539534,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 07:30:00+00:00,LS Urda,0.144423,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 07:45:00+00:00,LS Urda,0.14650847,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 08:00:00+00:00,LS Urda,0.20376919,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 08:15:00+00:00,LS Urda,0.20528825,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 08:30:00+00:00,LS Urda,0.18398915,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 08:45:00+00:00,LS Urda,0.21464506,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 09:00:00+00:00,LS Urda,0.3322283,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 09:15:00+00:00,LS Urda,0.32518917,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 09:30:00+00:00,LS Urda,0.3453303,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 09:45:00+00:00,LS Urda,0.35246927,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 10:00:00+00:00,LS Urda,0.36337993,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 10:15:00+00:00,LS Urda,0.29334447,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 10:30:00+00:00,LS Urda,0.38251072,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 10:45:00+00:00,LS Urda,0.3391333,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 11:00:00+00:00,LS Urda,0.36722738,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 11:15:00+00:00,LS Urda,0.38910705,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 11:30:00+00:00,LS Urda,0.3892989,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 11:45:00+00:00,LS Urda,0.36005825,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 12:00:00+00:00,LS Urda,0.30969214,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 12:15:00+00:00,LS Urda,0.37806687,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 12:30:00+00:00,LS Urda,0.3050657,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 12:45:00+00:00,LS Urda,0.311488,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 13:00:00+00:00,LS Urda,0.34881234,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 13:15:00+00:00,LS Urda,0.3307876,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 13:30:00+00:00,LS Urda,0.38751107,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 13:45:00+00:00,LS Urda,0.3787498,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 14:00:00+00:00,LS Urda,0.37053272,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 14:15:00+00:00,LS Urda,0.37937805,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 14:30:00+00:00,LS Urda,0.3973168,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 14:45:00+00:00,LS Urda,0.39626595,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 15:00:00+00:00,LS Urda,0.43450186,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 15:15:00+00:00,LS Urda,0.4347909,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 15:30:00+00:00,LS Urda,0.39786884,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 15:45:00+00:00,LS Urda,0.3513695,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 16:00:00+00:00,LS Urda,0.3421981,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 16:15:00+00:00,LS Urda,0.33556047,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 16:30:00+00:00,LS Urda,0.33185172,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 16:45:00+00:00,LS Urda,0.35088107,11000 Carretera Urda,22110000
